t # 0
v 0 4
v 1 0
v 2 0
v 3 4
v 4 0
v 5 4
v 6 0
v 7 4
v 8 4
v 9 0
v 10 4
v 11 0
v 12 0
v 13 4
v 14 0
v 15 0
v 16 0
v 17 0
v 18 0
v 19 0
v 20 0
v 21 0
v 22 4
v 23 1
v 24 0
v 25 0
v 26 0
v 27 0
v 28 1
v 29 1
v 30 0
v 31 1
v 32 1
v 33 3
v 34 3
v 35 3
v 36 3
v 37 3
v 38 3
v 39 3
v 40 3
v 41 3
v 42 3
v 43 3
v 44 3
v 45 3
v 46 3
v 47 3
v 48 3
v 49 3
v 50 3
v 51 3
v 52 3
v 53 3
v 54 3
e 0 1 0
e 0 33 0
e 0 34 0
e 1 2 0
e 1 3 0
e 2 4 0
e 2 5 0
e 3 6 0
e 4 7 0
e 4 8 0
e 5 9 0
e 6 10 0
e 6 8 0
e 7 11 0
e 9 12 0
e 9 11 0
e 10 35 0
e 10 36 0
e 11 37 0
e 12 13 0
e 12 38 0
e 12 39 0
e 13 14 0
e 13 15 0
e 14 40 0
e 14 41 0
e 14 42 0
e 15 16 0
e 15 17 0
e 16 18 0
e 16 43 0
e 17 19 0
e 17 44 0
e 18 20 0
e 18 45 0
e 19 20 0
e 19 46 0
e 20 21 0
e 21 22 0
e 21 23 0
e 22 24 0
e 22 47 0
e 24 25 0
e 24 26 0
e 24 48 0
e 25 27 0
e 25 49 0
e 25 50 0
e 26 28 0
e 26 29 0
e 27 30 0
e 27 51 0
e 27 52 0
e 29 53 0
e 30 31 0
e 30 32 0
e 32 54 0
